Column1,Tool Title,Link,Location_x,ngrams,Internal Search:Term (v33),Unique Visitors,Internal Search: Search (event7),Internal Search: Click Through (event11),Internal Search CTR,normalized_search_term,Location_y,Actual,Match
10,A - Z SharePoint site list NW,https://sp-cloud.kp.org/sites/nwsp/SitePages/A-Z-SharePoint-List.aspx,northwest,a z,a_z,12,12,6,0.5,a z,northwest,,FALSE
11,AACC Primary Care CO,http://www.insidekpco.net/aacc_thrive/aacc_zone_primary_care,colorado,primary care,primary care,307,454,374,0.823788546,primary care,colorado,https://csc2cwp00006028.cloud.kp.org/pricare/home,FALSE
12,AACC Primary Care CO,http://www.insidekpco.net/aacc_thrive/aacc_zone_primary_care,colorado,primary care,primary care,307,454,374,0.823788546,primary care,washington,https://csc2cwp00006028.cloud.kp.org/pricare/home,FALSE
13,AACC Primary Care CO,http://www.insidekpco.net/aacc_thrive/aacc_zone_primary_care,colorado,primary care,primary care,307,454,374,0.823788546,primary care,hawaii,https://csc2cwp00006028.cloud.kp.org/pricare/home,FALSE
14,Primary Care CO,https://sp-cloud.kp.org/sites/KPCO-Primary-Care,colorado,primary care,primary care,307,454,374,0.823788546,primary care,colorado,https://csc2cwp00006028.cloud.kp.org/pricare/home,FALSE
15,Primary Care CO,https://sp-cloud.kp.org/sites/KPCO-Primary-Care,colorado,primary care,primary care,307,454,374,0.823788546,primary care,washington,https://csc2cwp00006028.cloud.kp.org/pricare/home,FALSE
16,Primary Care CO,https://sp-cloud.kp.org/sites/KPCO-Primary-Care,colorado,primary care,primary care,307,454,374,0.823788546,primary care,hawaii,https://csc2cwp00006028.cloud.kp.org/pricare/home,FALSE
17,Primary Care Clinical Tools WA,https://sp-cloud.kp.org/sites/kpwa-PrimaryCare/pcclinictools/SitePages/Home.aspx,washington,primary care,primary care,307,454,374,0.823788546,primary care,colorado,https://csc2cwp00006028.cloud.kp.org/pricare/home,FALSE
18,Primary Care Clinical Tools WA,https://sp-cloud.kp.org/sites/kpwa-PrimaryCare/pcclinictools/SitePages/Home.aspx,washington,primary care,primary care,307,454,374,0.823788546,primary care,washington,https://csc2cwp00006028.cloud.kp.org/pricare/home,FALSE
19,Primary Care Clinical Tools WA,https://sp-cloud.kp.org/sites/kpwa-PrimaryCare/pcclinictools/SitePages/Home.aspx,washington,primary care,primary care,307,454,374,0.823788546,primary care,hawaii,https://csc2cwp00006028.cloud.kp.org/pricare/home,FALSE
20,Primary Care HI,https://csc2cwp00006028.cloud.kp.org/pricare/home,hawaii,primary care,primary care,307,454,374,0.823788546,primary care,colorado,https://csc2cwp00006028.cloud.kp.org/pricare/home,TRUE
21,Primary Care HI,https://csc2cwp00006028.cloud.kp.org/pricare/home,hawaii,primary care,primary care,307,454,374,0.823788546,primary care,washington,https://csc2cwp00006028.cloud.kp.org/pricare/home,TRUE
22,Primary Care HI,https://csc2cwp00006028.cloud.kp.org/pricare/home,hawaii,primary care,primary care,307,454,374,0.823788546,primary care,hawaii,https://csc2cwp00006028.cloud.kp.org/pricare/home,TRUE
23,AACC Thrive Off the Phone CO,http://www.insidekpco.net/aacc_thrive/aacc_zone_phone,colorado,aacc thrive,aacc thrive,8,160,156,0.975,aacc thrive,colorado,http://www.insidekpco.net/aacc_thrive,FALSE
24,AACC Thrive Zone CO,http://www.insidekpco.net/aacc_thrive,colorado,aacc thrive,aacc thrive,8,160,156,0.975,aacc thrive,colorado,http://www.insidekpco.net/aacc_thrive,TRUE
25,AACC Thrive Zone CO,http://www.insidekpco.net/aacc_thrive,colorado,thrive zone,thrive zone,23,36,36,1,thrive zone,colorado,http://www.insidekpco.net/aacc_thrive,TRUE
26,AACC Thrive Zone CO,http://www.insidekpco.net/aacc_thrive,colorado,aacc thrive zone,aacc thrive zone,14,122,126,1.032786885,aacc thrive zone,colorado,http://www.insidekpco.net/aacc_thrive,TRUE
27,ASK HPA / SPOT,https://sp-cloud.kp.org/sites/kpwa-hpa/SitePages/Home.aspx,washington,ask hpa,ask hpa,22,27,25,0.925925926,ask hpa,washington,https://sp-cloud.kp.org/sites/kpwa-hpa/SitePages/Home.aspx,TRUE
28,Acceleration Office WA,https://sp-cloud.kp.org/sites/KPWAAccelerationOffice,washington,acceleration office,acceleration office,25,46,11,0.239130435,acceleration office,washington,https://sp-cloud.kp.org/sites/KPWAAccelerationOffice,TRUE
29,Addiction Medicine NW,http://nwis.appl.kp.org/addmed/,northwest,addiction medicine,addiction medicine,63,137,106,0.773722628,addiction medicine,northwest,http://nwis.appl.kp.org/addmed/,TRUE
30,Administrative Assistants CO,https://sp-cloud.kp.org/sites/KPCO-Administrative-Resource-Center,colorado,administrative assistants,Administrative Assistants,17,25,27,1.08,administrative assistants,colorado,https://sp-cloud.kp.org/sites/KPCO-Administrative-Resource-Center,TRUE
31,Aesthetic Center HI,https://aestheticcenterhawaii.kaiserpermanente.org/,hawaii,aesthetic center,aesthetic center,7,9,6,0.666666667,aesthetic center,hawaii,https://aestheticcenterhawaii.kaiserpermanente.org/,TRUE
32,All Things Flu WA,https://sp-cloud.kp.org/sites/kpwa-flu,washington,all things flu,all things flu,163,202,180,0.891089109,all things flu,washington,https://sp-cloud.kp.org/sites/kpwa-flu,TRUE
33,Ambulatory Medical Operations NW,http://nwis.appl.kp.org/ambmedop/,northwest,medical operations,medical operations,8,8,6,0.75,medical operations,northwest,https://sp-cloud.kp.org/sites/KPGeorgiaMedicalOfficeOperations,FALSE
34,Ambulatory Medical Operations NW,http://nwis.appl.kp.org/ambmedop/,northwest,medical operations,medical operations,8,8,6,0.75,medical operations,georgia,https://sp-cloud.kp.org/sites/KPGeorgiaMedicalOfficeOperations,FALSE
35,Medical Office Operations GA,https://sp-cloud.kp.org/sites/KPGeorgiaMedicalOfficeOperations,georgia,medical operations,medical operations,8,8,6,0.75,medical operations,northwest,https://sp-cloud.kp.org/sites/KPGeorgiaMedicalOfficeOperations,TRUE
36,Medical Office Operations GA,https://sp-cloud.kp.org/sites/KPGeorgiaMedicalOfficeOperations,georgia,medical operations,medical operations,8,8,6,0.75,medical operations,georgia,https://sp-cloud.kp.org/sites/KPGeorgiaMedicalOfficeOperations,TRUE
37,Ambulatory Nursing and Optimization NW,https://sp-cloud.kp.org/sites/AmbulatoryNursingandOptimization,northwest,ambulatory nursing,ambulatory nursing,385,581,541,0.931153184,ambulatory nursing,northwest,https://sp-cloud.kp.org/sites/AmbulatoryNursingandOptimization,TRUE
38,Ambulatory Nursing and Optimization NW,https://sp-cloud.kp.org/sites/AmbulatoryNursingandOptimization,northwest,ambulatory nursing and,ambulatory nursing and,7,8,7,0.875,ambulatory nursing and,northwest,https://sp-cloud.kp.org/sites/AmbulatoryNursingandOptimization,TRUE
39,Ambulatory Nursing and Optimization NW,https://sp-cloud.kp.org/sites/AmbulatoryNursingandOptimization,northwest,ambulatory nursing optimization,ambulatory nursing optimization,16,20,19,0.95,ambulatory nursing optimization,northwest,https://sp-cloud.kp.org/sites/AmbulatoryNursingandOptimization,TRUE
40,Ambulatory Practice SCPMG,https://www.ambulatorypractice.org/,california-southern,ambulatory practice,ambulatory practice,53,60,67,1.116666667,ambulatory practice,california-southern,https://www.ambulatorypractice.org/,TRUE
41,Ambulatory Surgery Centers NW,http://nwis.appl.kp.org/asc/,northwest,ambulatory surgery,Ambulatory Surgery,14,15,11,0.733333333,ambulatory surgery,northwest,http://nwis.appl.kp.org/asc/,TRUE
42,Ambulatory Surgery Centers NW,http://nwis.appl.kp.org/asc/,northwest,ambulatory surgery,Ambulatory Surgery,14,15,11,0.733333333,ambulatory surgery,colorado,http://nwis.appl.kp.org/asc/,TRUE
43,Kaiser Ambulatory Surgery Center CO,http://www.insidekpco.net/kasc,colorado,ambulatory surgery,Ambulatory Surgery,14,15,11,0.733333333,ambulatory surgery,northwest,http://nwis.appl.kp.org/asc/,FALSE
44,Kaiser Ambulatory Surgery Center CO,http://www.insidekpco.net/kasc,colorado,ambulatory surgery,Ambulatory Surgery,14,15,11,0.733333333,ambulatory surgery,colorado,http://nwis.appl.kp.org/asc/,FALSE
45,Ambulatory Surgery Centers NW,http://nwis.appl.kp.org/asc/,northwest,ambulatory surgery centers,ambulatory surgery centers,9,10,9,0.9,ambulatory surgery centers,northwest,http://nwis.appl.kp.org/asc/,TRUE
46,Antelope Valley Area SCAL,http://voices-pc.ca.kp.org/antelopevalley/,california-southern,antelope valley,ANtelope Valley,49,57,41,0.719298246,antelope valley,california-southern,http://voices-pc.ca.kp.org/antelopevalley/,TRUE
47,Appointment and Advice Call Center NCAL,https://wiki.kp.org/wiki/display/ncalaacc,california-northern,appointment center,appointment center,31,39,24,0.615384615,appointment center,california-northern,https://sp-cloud.kp.org/sites/NWTCTelehealthCenter,FALSE
48,Appointment and Advice Call Center NCAL,https://wiki.kp.org/wiki/display/ncalaacc,california-northern,appointment center,appointment center,31,39,24,0.615384615,appointment center,northwest,https://sp-cloud.kp.org/sites/NWTCTelehealthCenter,FALSE
49,Appointment and Advice Contact Center NW,https://sp-cloud.kp.org/sites/NWTCTelehealthCenter,northwest,appointment center,appointment center,31,39,24,0.615384615,appointment center,california-northern,https://sp-cloud.kp.org/sites/NWTCTelehealthCenter,TRUE
50,Appointment and Advice Contact Center NW,https://sp-cloud.kp.org/sites/NWTCTelehealthCenter,northwest,appointment center,appointment center,31,39,24,0.615384615,appointment center,northwest,https://sp-cloud.kp.org/sites/NWTCTelehealthCenter,TRUE
51,Appointment and Advice Call Center NCAL,https://wiki.kp.org/wiki/display/ncalaacc,california-northern,appointment and advice,appointment and advice,7,10,7,0.7,appointment and advice,california-northern,https://sp-cloud.kp.org/sites/NWTCTelehealthCenter,FALSE
52,Appointment and Advice Call Center NCAL,https://wiki.kp.org/wiki/display/ncalaacc,california-northern,appointment and advice,appointment and advice,7,10,7,0.7,appointment and advice,northwest,https://sp-cloud.kp.org/sites/NWTCTelehealthCenter,FALSE
53,Appointment and Advice Contact Center NW,https://sp-cloud.kp.org/sites/NWTCTelehealthCenter,northwest,appointment and advice,appointment and advice,7,10,7,0.7,appointment and advice,california-northern,https://sp-cloud.kp.org/sites/NWTCTelehealthCenter,TRUE
54,Appointment and Advice Contact Center NW,https://sp-cloud.kp.org/sites/NWTCTelehealthCenter,northwest,appointment and advice,appointment and advice,7,10,7,0.7,appointment and advice,northwest,https://sp-cloud.kp.org/sites/NWTCTelehealthCenter,TRUE
55,Appointment and Advice Call Center NCAL,https://wiki.kp.org/wiki/display/ncalaacc,california-northern,call center,Call Center,454,2035,1931,0.948894349,call center,california-northern,https://wiki.kp.org/wiki/display/regionalcallcenterhawaii/Home,FALSE
56,Appointment and Advice Call Center NCAL,https://wiki.kp.org/wiki/display/ncalaacc,california-northern,call center,Call Center,454,2035,1931,0.948894349,call center,hawaii,https://wiki.kp.org/wiki/display/regionalcallcenterhawaii/Home,FALSE
57,Appointment and Advice Call Center NCAL,https://wiki.kp.org/wiki/display/ncalaacc,california-northern,call center,Call Center,454,2035,1931,0.948894349,call center,california-southern,https://wiki.kp.org/wiki/display/regionalcallcenterhawaii/Home,FALSE
58,Call Center Wiki HI,https://wiki.kp.org/wiki/display/regionalcallcenterhawaii/Home,hawaii,call center,Call Center,454,2035,1931,0.948894349,call center,california-northern,https://wiki.kp.org/wiki/display/regionalcallcenterhawaii/Home,TRUE
59,Call Center Wiki HI,https://wiki.kp.org/wiki/display/regionalcallcenterhawaii/Home,hawaii,call center,Call Center,454,2035,1931,0.948894349,call center,hawaii,https://wiki.kp.org/wiki/display/regionalcallcenterhawaii/Home,TRUE
60,Call Center Wiki HI,https://wiki.kp.org/wiki/display/regionalcallcenterhawaii/Home,hawaii,call center,Call Center,454,2035,1931,0.948894349,call center,california-southern,https://wiki.kp.org/wiki/display/regionalcallcenterhawaii/Home,TRUE
61,Report Call Center Errors SCAL,https://sp-cloud.kp.org/sites/teams-ccsqa,california-southern,call center,Call Center,454,2035,1931,0.948894349,call center,california-northern,https://wiki.kp.org/wiki/display/regionalcallcenterhawaii/Home,FALSE
62,Report Call Center Errors SCAL,https://sp-cloud.kp.org/sites/teams-ccsqa,california-southern,call center,Call Center,454,2035,1931,0.948894349,call center,hawaii,https://wiki.kp.org/wiki/display/regionalcallcenterhawaii/Home,FALSE
63,Report Call Center Errors SCAL,https://sp-cloud.kp.org/sites/teams-ccsqa,california-southern,call center,Call Center,454,2035,1931,0.948894349,call center,california-southern,https://wiki.kp.org/wiki/display/regionalcallcenterhawaii/Home,FALSE
64,Appointment and Advice Contact Center NW,https://sp-cloud.kp.org/sites/NWTCTelehealthCenter,northwest,contact center,contact center,61,85,24,0.282352941,contact center,northwest,https://sp-cloud.kp.org/sites/NWTCTelehealthCenter,TRUE
65,Ask Leadership CO,https://sp-cloud.kp.org/sites/KPCO-Colorado-Communications/SitePages/Ask-Leadership.aspx,colorado,ask leadership,ask leadership,10,19,16,0.842105263,ask leadership,colorado,http://www.insidekpco.net/ask-leadership,FALSE
66,Aspect Workforce - remote access CO,https://ccsticoclinicalesp.kp.org/WFO/CO_CLINICAL/,colorado,remote access,remote access,71,93,33,0.35483871,remote access,colorado,https://webapps.catholichealth.net/vpn/index.html,FALSE
67,Aspect Workforce - remote access CO,https://ccsticoclinicalesp.kp.org/WFO/CO_CLINICAL/,colorado,remote access,remote access,71,93,33,0.35483871,remote access,washington,https://webapps.catholichealth.net/vpn/index.html,FALSE
68,Franciscan/CHI Remote Access WA,https://webapps.catholichealth.net/vpn/index.html,washington,remote access,remote access,71,93,33,0.35483871,remote access,colorado,https://webapps.catholichealth.net/vpn/index.html,TRUE
69,Franciscan/CHI Remote Access WA,https://webapps.catholichealth.net/vpn/index.html,washington,remote access,remote access,71,93,33,0.35483871,remote access,washington,https://webapps.catholichealth.net/vpn/index.html,TRUE
70,Overlake Remote Access (EPIC) WA,https://ghremote.overlakehospital.org/__extraweb__authen?id=O39FFENRjxE%3D&alias=workplace&resource=/workplace/access/home&realm=146&nodeID=AventailSSLVPN-node1_node1,washington,remote access,remote access,71,93,33,0.35483871,remote access,colorado,https://webapps.catholichealth.net/vpn/index.html,FALSE
71,Overlake Remote Access (EPIC) WA,https://ghremote.overlakehospital.org/__extraweb__authen?id=O39FFENRjxE%3D&alias=workplace&resource=/workplace/access/home&realm=146&nodeID=AventailSSLVPN-node1_node1,washington,remote access,remote access,71,93,33,0.35483871,remote access,washington,https://webapps.catholichealth.net/vpn/index.html,FALSE
72,Providence Remote Access (EPIC) WA,https://apps.providence.org/vpn/index.html,washington,remote access,remote access,71,93,33,0.35483871,remote access,colorado,https://webapps.catholichealth.net/vpn/index.html,FALSE
73,Providence Remote Access (EPIC) WA,https://apps.providence.org/vpn/index.html,washington,remote access,remote access,71,93,33,0.35483871,remote access,washington,https://webapps.catholichealth.net/vpn/index.html,FALSE
74,Swedish Hospital/MC Remote Access WA,https://citrixapps.providence.org/,washington,remote access,remote access,71,93,33,0.35483871,remote access,colorado,https://webapps.catholichealth.net/vpn/index.html,FALSE
75,Swedish Hospital/MC Remote Access WA,https://citrixapps.providence.org/,washington,remote access,remote access,71,93,33,0.35483871,remote access,washington,https://webapps.catholichealth.net/vpn/index.html,FALSE
76,BHAC / Mental Health CO,https://sp-cloud.kp.org/sites/KPCO-Behavioral-Health-Access-Center/SitePages/Mental-Health(1).aspx,colorado,mental health,mental health,538,814,469,0.576167076,mental health,colorado,https://sp-cloud.kp.org/sites/KPCO-breathe,FALSE
77,BHAC / Mental Health CO,https://sp-cloud.kp.org/sites/KPCO-Behavioral-Health-Access-Center/SitePages/Mental-Health(1).aspx,colorado,mental health,mental health,538,814,469,0.576167076,mental health,california-northern,https://sp-cloud.kp.org/sites/KPCO-breathe,FALSE
78,Mental Health Resources CO,https://mykp.kp.org/en/content/colorado/your-mental-health-is-a-priority.html,colorado,mental health,mental health,538,814,469,0.576167076,mental health,colorado,https://sp-cloud.kp.org/sites/KPCO-breathe,FALSE
79,Mental Health Resources CO,https://mykp.kp.org/en/content/colorado/your-mental-health-is-a-priority.html,colorado,mental health,mental health,538,814,469,0.576167076,mental health,california-northern,https://sp-cloud.kp.org/sites/KPCO-breathe,FALSE
80,Mental Health and Wellness for Employees,https://hrconnect.kp.org/wps/portal/hr/benefitsandwellness/wellness/healthyme/mentalhealthandwellness/,california-northern,mental health,mental health,538,814,469,0.576167076,mental health,colorado,https://sp-cloud.kp.org/sites/KPCO-breathe,FALSE
81,Mental Health and Wellness for Employees,https://hrconnect.kp.org/wps/portal/hr/benefitsandwellness/wellness/healthyme/mentalhealthandwellness/,california-northern,mental health,mental health,538,814,469,0.576167076,mental health,california-northern,https://sp-cloud.kp.org/sites/KPCO-breathe,FALSE
82,BLS Certification GA,https://sp-cloud.kp.org/sites/KPGeorgiaBLSCertification,georgia,bls certification,bls certification,38,43,22,0.511627907,bls certification,georgia,https://sp-cloud.kp.org/sites/KPGeorgiaBLSCertification,TRUE
83,Baldwin Park Medical Center SCAL,https://sp-cloud.kp.org/sites/BaldwinParkMedicalCenterSharepoint,california-southern,medical center,Medical Center,25,52,8,0.153846154,medical center,california-southern,http://nwis.appl.kp.org/ksmc/,FALSE
84,Baldwin Park Medical Center SCAL,https://sp-cloud.kp.org/sites/BaldwinParkMedicalCenterSharepoint,california-southern,medical center,Medical Center,25,52,8,0.153846154,medical center,california-northern,http://nwis.appl.kp.org/ksmc/,FALSE
85,Baldwin Park Medical Center SCAL,https://sp-cloud.kp.org/sites/BaldwinParkMedicalCenterSharepoint,california-southern,medical center,Medical Center,25,52,8,0.153846154,medical center,northwest,http://nwis.appl.kp.org/ksmc/,FALSE
86,Downey Medical Center ,https://www.kp.org/downeygateway,california-southern,medical center,Medical Center,25,52,8,0.153846154,medical center,california-southern,http://nwis.appl.kp.org/ksmc/,FALSE
87,Downey Medical Center ,https://www.kp.org/downeygateway,california-southern,medical center,Medical Center,25,52,8,0.153846154,medical center,california-northern,http://nwis.appl.kp.org/ksmc/,FALSE
88,Downey Medical Center ,https://www.kp.org/downeygateway,california-southern,medical center,Medical Center,25,52,8,0.153846154,medical center,northwest,http://nwis.appl.kp.org/ksmc/,FALSE
89,Panorama City Medical Center SCAL,http://voices-pc.ca.kp.org/,california-southern,medical center,Medical Center,25,52,8,0.153846154,medical center,california-southern,http://nwis.appl.kp.org/ksmc/,FALSE
90,Panorama City Medical Center SCAL,http://voices-pc.ca.kp.org/,california-southern,medical center,Medical Center,25,52,8,0.153846154,medical center,california-northern,http://nwis.appl.kp.org/ksmc/,FALSE
91,Panorama City Medical Center SCAL,http://voices-pc.ca.kp.org/,california-southern,medical center,Medical Center,25,52,8,0.153846154,medical center,northwest,http://nwis.appl.kp.org/ksmc/,FALSE
92,San Francisco Medical Center NCAL,http://kpnet.kp.org/ncal/sfo/,california-northern,medical center,Medical Center,25,52,8,0.153846154,medical center,california-southern,http://nwis.appl.kp.org/ksmc/,FALSE
93,San Francisco Medical Center NCAL,http://kpnet.kp.org/ncal/sfo/,california-northern,medical center,Medical Center,25,52,8,0.153846154,medical center,california-northern,http://nwis.appl.kp.org/ksmc/,FALSE
94,San Francisco Medical Center NCAL,http://kpnet.kp.org/ncal/sfo/,california-northern,medical center,Medical Center,25,52,8,0.153846154,medical center,northwest,http://nwis.appl.kp.org/ksmc/,FALSE
95,San Jose Medical Center NCAL,https://sanjose.ca.kp.org/,california-northern,medical center,Medical Center,25,52,8,0.153846154,medical center,california-southern,http://nwis.appl.kp.org/ksmc/,FALSE
96,San Jose Medical Center NCAL,https://sanjose.ca.kp.org/,california-northern,medical center,Medical Center,25,52,8,0.153846154,medical center,california-northern,http://nwis.appl.kp.org/ksmc/,FALSE
97,San Jose Medical Center NCAL,https://sanjose.ca.kp.org/,california-northern,medical center,Medical Center,25,52,8,0.153846154,medical center,northwest,http://nwis.appl.kp.org/ksmc/,FALSE
98,San Rafael Medical Center NCAL,http://marin-sonoma.kp.org/sanrafael/,california-northern,medical center,Medical Center,25,52,8,0.153846154,medical center,california-southern,http://nwis.appl.kp.org/ksmc/,FALSE
99,San Rafael Medical Center NCAL,http://marin-sonoma.kp.org/sanrafael/,california-northern,medical center,Medical Center,25,52,8,0.153846154,medical center,california-northern,http://nwis.appl.kp.org/ksmc/,FALSE
100,San Rafael Medical Center NCAL,http://marin-sonoma.kp.org/sanrafael/,california-northern,medical center,Medical Center,25,52,8,0.153846154,medical center,northwest,http://nwis.appl.kp.org/ksmc/,FALSE
101,Santa Clara Medical Center NCAL,https://santaclara.ca.kp.org/,california-northern,medical center,Medical Center,25,52,8,0.153846154,medical center,california-southern,http://nwis.appl.kp.org/ksmc/,FALSE
102,Santa Clara Medical Center NCAL,https://santaclara.ca.kp.org/,california-northern,medical center,Medical Center,25,52,8,0.153846154,medical center,california-northern,http://nwis.appl.kp.org/ksmc/,FALSE
103,Santa Clara Medical Center NCAL,https://santaclara.ca.kp.org/,california-northern,medical center,Medical Center,25,52,8,0.153846154,medical center,northwest,http://nwis.appl.kp.org/ksmc/,FALSE
104,Santa Rosa Medical Center NCAL,http://marin-sonoma.kp.org/santarosa/,california-northern,medical center,Medical Center,25,52,8,0.153846154,medical center,california-southern,http://nwis.appl.kp.org/ksmc/,FALSE
105,Santa Rosa Medical Center NCAL,http://marin-sonoma.kp.org/santarosa/,california-northern,medical center,Medical Center,25,52,8,0.153846154,medical center,california-northern,http://nwis.appl.kp.org/ksmc/,FALSE
106,Santa Rosa Medical Center NCAL,http://marin-sonoma.kp.org/santarosa/,california-northern,medical center,Medical Center,25,52,8,0.153846154,medical center,northwest,http://nwis.appl.kp.org/ksmc/,FALSE
107,South Bay Medical Center SCAL,http://kp.org/sbshare,california-southern,medical center,Medical Center,25,52,8,0.153846154,medical center,california-southern,http://nwis.appl.kp.org/ksmc/,FALSE
108,South Bay Medical Center SCAL,http://kp.org/sbshare,california-southern,medical center,Medical Center,25,52,8,0.153846154,medical center,california-northern,http://nwis.appl.kp.org/ksmc/,FALSE
109,South Bay Medical Center SCAL,http://kp.org/sbshare,california-southern,medical center,Medical Center,25,52,8,0.153846154,medical center,northwest,http://nwis.appl.kp.org/ksmc/,FALSE
110,South San Francisco Medical Center NCAL,http://kpnet.kp.org:81/ncal/sma/southsanfrancisco/,california-northern,medical center,Medical Center,25,52,8,0.153846154,medical center,california-southern,http://nwis.appl.kp.org/ksmc/,FALSE
111,South San Francisco Medical Center NCAL,http://kpnet.kp.org:81/ncal/sma/southsanfrancisco/,california-northern,medical center,Medical Center,25,52,8,0.153846154,medical center,california-northern,http://nwis.appl.kp.org/ksmc/,FALSE
112,South San Francisco Medical Center NCAL,http://kpnet.kp.org:81/ncal/sma/southsanfrancisco/,california-northern,medical center,Medical Center,25,52,8,0.153846154,medical center,northwest,http://nwis.appl.kp.org/ksmc/,FALSE
113,Sunnyside Medical Center NW,http://nwis.appl.kp.org/ksmc/,northwest,medical center,Medical Center,25,52,8,0.153846154,medical center,california-southern,http://nwis.appl.kp.org/ksmc/,TRUE
114,Sunnyside Medical Center NW,http://nwis.appl.kp.org/ksmc/,northwest,medical center,Medical Center,25,52,8,0.153846154,medical center,california-northern,http://nwis.appl.kp.org/ksmc/,TRUE
115,Sunnyside Medical Center NW,http://nwis.appl.kp.org/ksmc/,northwest,medical center,Medical Center,25,52,8,0.153846154,medical center,northwest,http://nwis.appl.kp.org/ksmc/,TRUE
116,West Los Angeles Medical Center SCAL,http://wlakphc.wla.ca.kp.org/wla%20employee%20portal/,california-southern,medical center,Medical Center,25,52,8,0.153846154,medical center,california-southern,http://nwis.appl.kp.org/ksmc/,FALSE
117,West Los Angeles Medical Center SCAL,http://wlakphc.wla.ca.kp.org/wla%20employee%20portal/,california-southern,medical center,Medical Center,25,52,8,0.153846154,medical center,california-northern,http://nwis.appl.kp.org/ksmc/,FALSE
118,West Los Angeles Medical Center SCAL,http://wlakphc.wla.ca.kp.org/wla%20employee%20portal/,california-southern,medical center,Medical Center,25,52,8,0.153846154,medical center,northwest,http://nwis.appl.kp.org/ksmc/,FALSE
119,Westside Medical Center NW,http://nwis.appl.kp.org/kwmc/,northwest,medical center,Medical Center,25,52,8,0.153846154,medical center,california-southern,http://nwis.appl.kp.org/ksmc/,FALSE
120,Westside Medical Center NW,http://nwis.appl.kp.org/kwmc/,northwest,medical center,Medical Center,25,52,8,0.153846154,medical center,california-northern,http://nwis.appl.kp.org/ksmc/,FALSE
121,Westside Medical Center NW,http://nwis.appl.kp.org/kwmc/,northwest,medical center,Medical Center,25,52,8,0.153846154,medical center,northwest,http://nwis.appl.kp.org/ksmc/,FALSE
122,Westside Medical Center NW,http://internal.or.kp.org/kwmc/index.cfm,northwest,medical center,Medical Center,25,52,8,0.153846154,medical center,california-southern,http://nwis.appl.kp.org/ksmc/,FALSE
